Company Symbol,Market Cap,Authorized Shares,Outstanding Shares,Par Value,SEC Filings,Address,Website,Phone,Email,Audited Financials,Latest Report,Fiscal Year End,Company Officers,BOARD OF DIRECTORS,Employees
ATMAF,"107,983,434",,"35,994,478",,,Cassini House 57-59 St James's Street London SW1A 1LD United Kingdom,www.artemisfunds.com,+44 1268 445 401,investor.support@artemisfunds.com,,,Apr-30,,,
ATMFF,"478,704",Unlimited,"8,640,873",,,"550 Burrard Street, Suite 2300, Vancouver, BC V6C 2B5 Canada",www.atmofizer.com,+1 778 960 5653,info@atmofizer.com,Audited,09/30/2023 Interim Financial Report,Dec-31,"Olivier Centner (CEO), Brian Ross Meadows (CFO)","Olivier Centner, Michael Bernardino Galloro, Dr. Joshua Bennett Helman, Nareda Lisette Mills, Peter Emmanouil Simeon",3 as of 11/28/2023
ATMGF,"1,553,117",Unlimited,"77,655,853",0.05,,"303 - 750 West Pender Street Vancouver, BC V6C 2T7 Canada",www.atcomining.com,604-681-0084,info@atcomining.com,Audited,,Dec-31,"Brian Shin (CFO), Cassandra Gee (Administrator)",,0 as of 04/19/2023
ATMH,"1,621,753","2,000,000,000","34,801,557",0.001,08/12/2019,"701 SE 6th Ave ste #203 Delray Beach, FL 33483",allthingsmobileanalytic.com,+1 888 3504660,inquiries@allthingsmobileanalytic.com,Unaudited,03/31/2024 Quarterly Report,Dec-31,"Massimo Meneghello (President, CEO), Massimo Travagli (CFO, Secretary, Treasurer), Sharon Mitchell (Legal Counsel)","Massimo Meneghello, Massimo Travagli",2 as of 12/31/2023
ATMMF,"1,611,204",,"33,566,743",,,"#830 - 1100 Melville St. Vancouver, BC V6E 4A6 Canada",www.atomicminerals.ca,+1 604-341-6870,info@atomicminerals.ca,,,Aug-31,,,
ATMO,"684,106","1,000,000,000","427,566,004",,,"4700 Homewood Court Suite 100 Raleigh, NC 27609",www.americatowne.com,+1 (888) 406-2713,info@americatowne.com,Audited,09/30/2019,Dec-31,Alton Perkins (CEO),Alton Perkins,30 as of 02/01/2021
ATMQF,,,,,,,,,,,,,,,
ATMTF,"94,815,045","1,616,508,573","1,580,250,758",,,"PO Box 282, Oak House Hirzel House St. Peter Port GY1 3RH Guernsey",www.andradamining.com,+27 11 268 6555,investorrelations@andradamining.com,Audited,11/30/2023 Quarterly Report,Feb-28,"Anthony Richard Viljoen (CEO, Executive Director), Christoffel Johannes Smith (COO), Hiten Mohanlal Ooka (CFO, Executive Director), William Henry McFerren (Business Development), Frans Mathys van Daalen (CBO), Sakhile Ndlovu (Head of IR)","Glen William Parsons, Nakazibwe Sekandi, Terence Philip Goodlace, Michael Ian Rawlison, Laurence John Robb",400 as of 03/31/2023
ATNE,"5,531","500,000,000","55,309,030",0.001,,"9390 Forest Lane Conroe, TX 77385",,214-500-7834,,,01/31/2008 Initial Company Information and Disclosure Statement,Dec-31,"Brown Marks (President), Steve Turknet (CFO)",,
ATNNF,"775,004,353",,"4,672,360",,,,,,,,,Dec-31,,,
ATNPQ,"111,642","30,000,000,000","11,164,235,780",0.001,09/08/2011,"2320 NE 9th Street Fort Lauderdale, FL 33304",www.atlantistechnologygroup.com,305-396-6777,contact@atlantistechnologygroup.com,,09/30/2008,Dec-31,,,
ATOGF,,,,,,,,,,,,,,,
ATOGY,,,,,,,,,,,,,,,
ATONF,"113,887,913",,"2,101,253,000",,,No.8 Pingcui West Road Donghuqu Chaoyang District Beijing 100102 China,www.antonoil.com,0086-10-57397788,group@antonoil.com,Audited,,Dec-31,Cheng Lei (IR),,
ATONY,"114,027,426",,"2,141,340,000",,,No.8 Pingcui West Road Donghuqu Chaoyang District Beijing 100102 China,www.antonoil.com,0086-10-57397788,group@antonoil.com,Audited,,Dec-31,Cheng Lei (IR),,
ATOR,"4,214,375","200,000,000","42,143,750",0.001,,"2801 Bickford Ave. Suite 103-366 Snohomish, WA 98271",www.astorexplorations.com,+61 425-249-8520,info@astorexplorations.com,,06/30/2022 Quarterly Report,Dec-31,Kim Sue Halvorson (Other),,4 as of 09/01/2021
ATOXF,"2,001,896","100,000,000","94,206,872",NaN,NaN,"PO Box 31880 Richmond, BC V7E 0B5 Canada",www.durangoresourcesinc.com,+1 6044282900,durangoresourcesinc@gmail.com,Audited,01/31/2024 Interim Financial Report,Jul-31,"Marcy Kiesman (CEO), Aimee Ward (CFO)","Joanna Cameron, Julie Lemieux, Melanie MacKay",0 as of 10/06/2023
ATPL,"307,050",NaN,"6,141,009",0.1,,"1870 The Exchange Suite 200 Atlanta, GA 30339",NaN,(800) 497-7659,NaN,NaN,09/30/2007,Dec-31,"V. M. Philbrook (President, CEO), Paul G. Saari (CFO, Senior VP), Marilyn D. Kuffner (Secretary)",NaN,NaN
ATPMF,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATROB,"124,074,919",NaN,"6,557,871",0.01,05/10/2024,"130 Commerce Way East Aurora, NY 14052",www.astronics.com,(716) 805-1599,NaN,Audited,03/30/2024,Dec-31,"Kevin A. Keane (President, CEO), David A. Burney (CFO), John A. Drenning (Secretary)",NaN,NaN
ATRRF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATRWF,"205,045,463",Unlimited,"30,787,607",NaN,,"38 Duffy Place, 2nd Floor St. Johns, NF A1B 4M5 Canada",www.arr.energy,+1 416-346-9020,flora@arr.energy,Audited,03/31/2024 Interim Financial Report,Dec-31,"Brian A. Dalton (CEO), Ben Lewis (CFO)","Earl Ludlow, David John Bronicheski, Karen Clarke-Whistler, Anna Stylianides EI-Erian, Andre Gaumond",3 as of 08/08/2023
ATRX,"49,997","180,000,000","11,627,118",0.006,,"8000 Innovation Parkway Baton Rouge, LA 70820",www.adherathera.com,(919)-518-3748,investors@adhera.com,Audited,09/30/2023,Dec-31,"Andrew Kucharchuk (CEO, COO), Rhonda Stanley (Consultant)","Andrew Kucharchuk, Charles L. Rice",3 as of 01/01/2022
ATSKF,"96,091,914",NaN,"109,731,545",NaN,,"2nd TOC Bldg., 7-21-11 Nishi-Gotanda, Tokyo 141-0031 Japan",www.at-global.com/en,+81 3-5437-6000,NaN,NaN,NaN,Dec-31,NaN,NaN,NaN
ATTBF,"47,780",Unlimited,"477,804,139",NaN,,"Suite 1200 625 Howe Street Vancouver, BC V6C 2T6 Canada",www.abattis.com,+1 (808)-650-3007,info@abattis.com,NaN,03/31/2018 Interim Financial Report,Sep-30,"Robert Abenante (CEO, President), Kent McParland (CFO), Michael Bluestein (Securities Counsel), Jono Danieli (IR)","Robert Abenante, Peter Gordon, James Irving",NaN
ATTGF,NaN,NaN,NaN,NaN,,"585-609 Castle Peak Rd. Kwai Chung, HK China",www.wokeehong.com.hk,852-2869-1190,NaN,NaN,NaN,NaN,"Richard Man Fai Lee (President, CEO), Phyllis Ng (Secretary)",NaN,NaN
ATTOF,"1,500",NaN,"15,000,000",NaN,,NaN,NaN,+352 26786240,NaN,Audited,12/31/2022,NaN,NaN,NaN,NaN
ATTRF,"2,096,500,520",NaN,"3,083,089,000",NaN,NaN,168 Robinson Road #30-01 Capital Tower Singapore 068912 Singapore,www.ascottresidencetrust.com,+(65) 6713 2888,ask-us@ascottresidencetrust.com,Audited,NaN,Dec-31,NaN,NaN,NaN
ATUSF,"733,016,537","123,456,789","46,452,252",NaN,,"2nd Floor, 38 Duffy Place St. John's, NF A1B 4M5 Canada",www.altiusminerals.com,+1 709-576-3440,info@altiusminerals.com,Audited,03/31/2024 Interim Financial Report,Dec-31,"Brian A. Dalton (President, CEO), Ben Lewis (CFO), Chad Sheldon Wells (VP, Corp. Dev., Secretary), Mark Raguz (VP, Corp. Dev.), Stephen Lawrence Winter (VP Expl.), Stephanie Hussey (VP, Fin.), Flora MacKay Wood (VP, Investor Rel.), Sandra Lewis (Controller)","John Antle Baker, Nicole Adshead-Bell, Teresa Conway, Brian A. Dalton, Anna El Erian, Andre Gaumond, Fred James Mifflin, James Digby Ronald Strauss",19 as of 01/01/2024
ATUUF,"70,568,101",NaN,"26,629,472",NaN,NaN,"Suite 200, 640 5th Ave. SW Calgary, AB T2P 3G4 Canada",www.alturaenergy.ca,1-403-984-5197,info@alturaenergy.ca,NaN,NaN,Dec-31,NaN,NaN,NaN
ATVDY,"1,055,564,000",NaN,"211,112,800",NaN,,Avda. Isla Graciosa 28700 San Sebastian de Los Reyes Madrid Spain,www.antena3tv.es,,NaN,Audited,NaN,Dec-31,NaN,NaN,NaN
ATVK,"641,549","950,000,000","583,226,791",0.01,03/31/2024,"325 N Milwaukee Ave Suite G1 Wheeling, IL 60090",www.ameritekventures.com,(312) 239-3574,investors@ameritekventures.com,Audited,03/31/2024,Dec-31,"Shaun Passley, Ph.D. (CEO, CFO), Accounts Payable (Other)",NaN,8 as of 11/18/2020
ATVVF,"82,210,250",Unlimited,"8,608,403,149",NaN,NaN,"50 Kings Park Road, Level 2 West Perth, WA 6005 Australia",www.avl.au,+61 8-9321-5594,info@avl.au,Audited,03/31/2024 Quarterly Report,Jun-30,"Graham Taylor Arvidson (CEO), Todd Richardson (COO), Tom Plant (CFO), Louis Mostert (Chief Legal Officer), Neville John Bassett (Company Secretary Manager), Samantha McGahan (Head of IR), Accounts Payable (Other)","Mark Clifford Lawrenson, Peter Richard Watson, Anna Catherine Sudlow, Daniel Clifford Harris, Miriam Stanborough",23 as of 01/12/2023
ATVXF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATWNY,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,Dec-31,NaN,NaN,NaN
ATWT,"1,303,623","900,000,000","686,117,128",0.001,,"6700 Kirby Oaks Cove North Memphis, TN 38119",www.atwec.com,+1 9012892621,gerome41@gmail.com,Unaudited,12/31/2023 Annual Report,Dec-31,"Darnell Stitts (CEO, President)",Marvin Arbertha,3 as of 04/12/2021
ATXMF,"424,624",NaN,"265,390,090",NaN,,"491 Eglinton Ave. West Suite 305 Toronto, ON M5N 1A8 Canada",NaN,416-481-5657,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATYG,"1,498,170","15,000,000,000","14,981,701,785",0.0001,03/31/2024,"PO Box 147165 Lakewood, CO 80214",atlastechnology@gmail.com,303-323-4896,NaN,Audited,03/31/2024,Dec-31,"David J. Cutler (CFO), Redgie T Green (CEO)","David J. Cutler, Redgie T Green",0 as of 09/16/2021
ATYM,266,NaN,"26,570,677",0.0001,,"Room 1601-1604, 16/F., CRE Centre 889 Cheung Sha Wan Road Kowloon, HK China",NaN,(852)-23100101,NaN,NaN,09/30/2008,Dec-31,Kwong Kai Shun (CEO),NaN,NaN
ATZAF,"2,443,314,264",NaN,"91,475,637",NaN,NaN,"666 Burrard Street, Suite 1700 Vancouver, BC V6C 2X8 Canada",www.aritzia.com,+1 604 251 3132,investor@aritzia.com,NaN,NaN,Feb-28,NaN,NaN,NaN
AUBBF,NaN,NaN,"76,546,000",NaN,NaN,"Level 14, 141 Walker Street North Sydney, NSW 2060 Australia",www.aubgroup.com.au,+61 02 9935 2222,info@aubgroup.com.au,NaN,NaN,Jun-30,NaN,NaN,NaN
AUCCF,"1,734,183",Unlimited,"68,007,163",NaN,,"1100-1111 Melville Street Vancouver, BC V6E 3V6 Canada",europacificmetals.ca,+1 6046551420,catalin@europacificmetals.ca,Audited,03/31/2024 Interim Financial Report,Dec-31,"Karim Rayani (CEO), Diana Alvarez (Administrator)","Deepak Malhotra, Catalin Kilofliski, Mark G Luchinski, Andrew Marshall",0 as of 11/24/2023
AUCM,NaN,NaN,NaN,0.001,NaN,"3290 Birch Street Suite 102 Newport Beach, CA 92660",NaN,949-975-0544,NaN,NaN,06/30/2007 Quarterly Report,Dec-31,"James R. Clarke (President, Secretary, Treasurer)",James R. Clarke,20 as of 03/14/2005
AUCTF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUCUF,"12,544,922",Unlimited,"96,129,670",NaN,,"1210, 1130 West Pender St Vancouver, BC V6E 4A4 Canada",inflectionresources.com,+1 604-681-9100,info@inflectionresources.com,Audited,03/31/2024 Interim Financial Report,Sep-30,"Alistair Waddell (CEO, President), Philip Yee (CFO), Sandra Wong (Corporate Secretary), Doug Menzies (VP Expl.)","Wendell Zerb, Cecil R. Bond, Tero Kosonen, Stuart Smith, Alistair Waddell",7 as of 08/29/2023
AUDAQ,"505,419","200,000,000","4,594,717",NaN,03/31/2024,"2400 Market Street 4th Floor Philadelphia, PA 19103",www.audacyinc.com,(610) 660-5610,Pat.cunnane@audacy.com,Audited,03/31/2024,Dec-31,"David J. Field (CEO, President), Susan R. Larkin (COO), Richard Schmaeling (CFO), Andrew P. Sutor IV (Vice President, Company Secretary, General Counsel), Pat Cunnane (Vice President), Elizabeth Bramowski (Chief Accounting Officer, Treasurer), Andrea Levenson (Other)","David J. Berkman, Sean R. Creamer, David J. Field, Joseph M. Field, Joel Hollander, Louise C. Kramer, Mark Raymond LaNeve, Susan K. Neely","4,969 as of 12/31/2022"
AUDGF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUDYF,NaN,NaN,NaN,NaN,,"Unit 16, 36/F., China Merchants Tower Shun Tak Centre Sheung Wan, HK 0000 China",www.ausnutria.com.hk/en/global/home.php,,NaN,NaN,NaN,Dec-31,NaN,NaN,NaN
AUEEF,"14,089,380",NaN,"136,790,100",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bob Beeson (Managing Director),Peter Reeve,NaN
AUGG,"62,728,720","750,000,000","85,929,753",0.0001,03/31/2024,"Suite 555 - 999 Canada Place Vancouver, BC V6C 3E1 Canada",www.augustagold.com,(604) 687-1717,info@augustagold.com,Audited,03/31/2024,Dec-31,"Donald Richard Taylor (CEO, President), Tyler Minnick (Interim CFO, Consultant), Purni Parikh (Corporate Secretary, SVP, Corp. Dev., Secretary), Johnny Pappas (VP Environment, Community & First Nations Relation), Tom Ladner (VP, Legal), James Wickens (VP, Ops.)","Richard William Warke, John Boehner, Lenard Boggio, Daniel Lithgow Earle, Purni Parikh, Poonam Puri, Donald Richard Taylor",12 as of 03/15/2023
AUGMF,NaN,NaN,NaN,NaN,NaN,"Level 2, 41 - 43 Ord Street West Perth, WA 6005 Australia",www.augustusminerals.com.au,+61 08 6458 4200,admin@augustusminerals.com.au,NaN,NaN,Jun-30,NaN,NaN,NaN
AUHEF,"483,149,800",NaN,"493,010,000",NaN,NaN,520 Wangjiang West Road Hefei 230088 China,www.anhui-expressway.net/company/datum_e.as,0551- 65338697,wtgs@anhui-expressway.net,Audited,NaN,Dec-31,NaN,"Zhou Renqiang, Tu Xiaobei","2,150 as of 06/30/2013"
AUHIF,"1,282,730",Unlimited,"64,136,499",0.001,NaN,"372 Bay Street. Suite 301 Toronto, ON M5H 2W9 Canada",www.advanceunited.ca,+1 647-278-7502,investor@advanceunited.ca,Audited,12/31/2022 Annual Report,Dec-31,"James Robert Atkinson (CEO), Peter Holmes (Chief Marketing Officer), Vivian P Austin (Controller)","James Robert Atkinson, Walter Henry",6 as of 06/10/2022
AUHYF,"735,000,000",NaN,"300,000,000",NaN,NaN,NaN,www.anadoluhayat.com.tr,,hizmet@anadoluhayat.com.tr,Audited,NaN,Dec-31,NaN,NaN,NaN
AUIAF,"23,654,428",Unlimited,"96,548,684",0.00001,,"8 King Street East Suite 1800 Toronto, ON M5C 1B5 Canada",www.aurania.com,+1 4163673200,info@aurania.com,Audited,03/31/2024 Interim Financial Report,Dec-31,"Keith Michael Barron (CEO, President), Cruz Francisco Freyre Servin (Interim CFO), Carolyn Muir (VP, Investor Rel.), Accounts Payable (Other)","Keith Michael Barron, Nathalie Han, Jonathan Kagan, Thomas Ullrich",15 as of 12/31/2023
AUIWF,"1,064,280",Unlimited,"5,321,402",0.0001,,"8 King Street East Suite 1800 Toronto, ON M5C 1B5 Canada",www.aurania.com,+1 4163673200,info@aurania.com,Audited,03/31/2024 Interim Financial Report,Dec-31,"Keith Michael Barron (CEO, President), Cruz Francisco Freyre Servin (Interim CFO), Carolyn Muir (VP, Investor Rel.), Accounts Payable (Other)","Keith Michael Barron, Nathalie Han, Jonathan Kagan, Thomas Ullrich",15 as of 12/31/2023
AUIWF,"1,064,280",Unlimited,"5,321,402",0.0001,,"8 King Street East Suite 1800 Toronto, ON M5C 1B5 Canada",www.aurania.com,+1 4163673200,info@aurania.com,Audited,03/31/2024 Interim Financial Report,Dec-31,"Keith Michael Barron (CEO, President), Cruz Francisco Freyre Servin (Interim CFO), Carolyn Muir (VP, Investor Rel.), Accounts Payable (Other)","Keith Michael Barron, Nathalie Han, Jonathan Kagan, Thomas Ullrich",15 as of 12/31/2023
AUKNY,NaN,NaN,NaN,NaN,,Auckland Airport PO Box 73020 Manukau 2150 New Zealand,www.aucklandairport.co.nz,0800-247-767,NaN,Audited,NaN,Sep-30,"Simon Moutter (CEO), Simon Robertson (CFO), Charles Spillane (Gen. Manager, Corporate Controller), Julia Belk (IR)",NaN,NaN
AUKUF,"109,963,050",NaN,"73,308,700",NaN,,Tobelbader Strasse 30 Unterpremstaetten 8141 Austria,ams-osram.com,+43 3136 500-0,investor@ams-osram.com,Audited,NaN,Dec-31,NaN,NaN,NaN
AULRF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AULSF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUMBF,"8,768,193",Unlimited,"134,481,495",NaN,NaN,"1050-400 Burrard Street Vancouver, BC V6C 3A6 Canada",www.1911gold.com,+1 604-674-1293,ir@1911gold.com,Audited,09/30/2022 Interim Financial Report,Dec-31,"Shaun Heinrichs (CEO), Carmen Amezquita Hernandez (CFO), Shaun Drake (Corporate Secretary)","Mike Hoffman, David E. Christensen, Jamie Haggarty, Shaun Heinrichs, Shastri Ramnath",20 as of 02/01/2023
AUMC,"37,100,000","100,000,000","70,000,000",0.001,,"9449 Priority Way West Drive Suite 140 Indianapolis, IN 46240",aurynminingcorp.com,+1 317-204-2020,ir@aurynminingcorp.com,Unaudited,03/31/2024 Quarterly Report,Dec-31,"Maurizio A Cordova (President), Italo Volante (Vice President), Gary Goodin (Treasurer, Secretary)","Isaac Burstein, Amparo Quijano Claro, Maurizio A Cordova, Mark Dingley, Gary Goodin, Italo Volante",5 as of 03/01/2023
AUMTF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUNM,11,"500,000,000","108,100",0.001,NaN,"2917 Elm Street Suite C Dallas, TX 75226",www.auctionmills.com,(214) 747-2292,NaN,NaN,09/30/2005 Interim Financial Report,Dec-31,NaN,NaN,NaN
AUNXF,"4,649,745",Unlimited,"5,812,180,673",NaN,,"120 Prosperous Place, Suite 201 Lexington, KY 40509",www.axpenergy.com.au,+1 859-263-3948,info@axpenergy.com.au,Audited,03/31/2024 Quarterly Report,Jun-30,"Timothy B Hart (CEO), Bradley Mervis (CFO), Robert E Lees (Corporate Secretary)","Samuel McCann Jarvis, Stuart J Middleton, Andrew Bald",8 as of 04/29/2024
AUOTY,"5,208,643",NaN,"9,522,200",NaN,,No. 1 Li-Hsin Road 2 Hsinchu Science Park Hsinchu Taiwan,www.auo.com/en-global/About_AUO/index,+886 3-500-880,NaN,Audited,12/31/2019,Dec-31,Chen Xuan Bin (President),NaN,NaN
AUQSF,NaN,NaN,NaN,NaN,NaN,"6 Kearns Crescent Ardross, WA 6153 Australia",www.ausquest.com.au,08 9364 3866,NaN,NaN,NaN,NaN,Graeme Drew (Managing Director),NaN,NaN
AURI,"1,334,065","10,000,000,000","5,336,259,471",0.001,,"1712 Pioneer Ave Suite 500 Cheyenne, WY 82001",www.AURItoken.io,+1 214-418-6940,ev24903@gmail.com,Unaudited,03/31/2024 Quarterly Report,Dec-31,"Edward I Vakser (Corporate Secretary, Acting CEO)",Edward I Vakser,4 as of 08/03/2021
AURQF,"80,629",Unlimited,"53,752,813",NaN,NaN,"110 Yonge Street Suite 1900 Toronto, ON M5C 1T4 Canada",www.aureliusminerals.com,+1 416-304-9095,info@aureliusminerals.com,Audited,09/30/2022 Interim Financial Report,Dec-31,"Mark N.J. Ashcroft (CEO), Germaine Coombs (CFO), Lorna MacGillivray (Corporate Secretary)","Gilles Arsenault, Mark N.J. Ashcroft, John B. Carter, Michael George Leskovec, Garett Macdonald",19 as of 10/31/2022
AURT,"18,047","20,000,000,000","180,468,647",0.0166,,"8396 Paolmar Ave. Yucca Valley, CA 92284",www.attunertd.com,760-668-8955,NaN,NaN,09/30/2014,Dec-31,"Paul Shawn Davis (CEO), Thomas Scott Bianco (CFO, Treasurer, Principal Fin. Officer), Timothy J. Smith (Secretary)","Paul Shawn Davis, Thomas Scott Bianco",2 as of 04/26/2010
AURWF,"1,045,216",NaN,"104,521,635",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AURX,"33,380,918","100,000,000","45,109,349",0.0001,NaN,"8285 El Rio Suite 190 Houston, TX 77054",www.nuot.com,(346) 396-4770,djorden@nuot.com,Audited,06/07/2024 8K Report,Dec-31,"David E. Jorden (CEO, CFO), Peter A. Clausen (CSO, COO), Kristi Vollman (Administrator)","Paul D. Mintz, Scott Pittman, C. Eric Winzer",9 as of 02/13/2024
AUSAF,"3,148,966",Unlimited,"349,885,091",NaN,,"5898 Azzura Palms Avenue Suite 190 Las Vegas, NV 89139",www.ausa-corp.com,+1 800-898-0648,ir@ausa-corp.com,Audited,12/31/2021 Interim Financial Report,Mar-31,"Terrence Booth (CEO), Roger Sykes (COO), Jon Paul (CFO), Adam Szweras (Corporate Secretary), Lou Kiara Marcos (VP, Ops.)","Jason Dyck, John Esteireiro, Hanoz Kapadia, Jill Lee Swainson",16 as of 09/13/2022
AUSCF,NaN,NaN,NaN,NaN,,"1701 Village Center Circle Las Vegas, NV 89134",NaN,+1 (702) 323-7330,NaN,Audited,09/30/2022,NaN,NaN,NaN,NaN
AUSDF,NaN,NaN,NaN,NaN,NaN,170 Kewdale Road Kewdale 6105 Australia,NaN,(08) 9353 3055,NaN,Audited,NaN,Dec-31,NaN,NaN,NaN
AUSI,"47,043,153","150,000,000","106,916,256",NaN,06/12/2024,"20431 North Sea Lake Forest, CA 92630",www.aurasystems.com,(310) 643-5300,info@aurasystems.com,Audited,06/12/2024 8K Report,Feb-28,"Cipora Lavut (Acting President), Robert Lempert (Secretary), Yedidia Cohen (VP, Eng.)","Cipora Lavut, Robert Lempert, David Mann",NaN
AUSTF,"28,397,865",NaN,"72,314,400",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUSVF,"3,545,758",Unlimited,"22,002,839",NaN,,"P.O. Box 279 Manotick, ON K4M 1A3 Canada",gold79mines.com,+1 613-692-7704,jm@gold79mines.com,Audited,03/31/2024 Quarterly Report,Dec-31,"Derek Mohan Gajraj Macpherson (President, CEO), John Darin McNeice (CFO, Corporate Secretary), Robert Joseph Johansing (VP, Exploration)","Gary Robert Thompson, Paulo Daniel Carrelo, James McWillie Franklin, Peter Mercer",0 as of 10/30/2023
AUTLF,"588,979,393",NaN,"361,337,051",NaN,NaN,"100 Clarence Beach Road Henderson, WA 6166 Australia",www.austal.com,+61 8 9410 1111,investors@austal.com,Audited,NaN,Jun-30,"Andrew Bellamy (CEO), Michael Atkinson (Executive Director, Finance Director)",NaN,NaN
AUTR,"2,165,647","200,000,000","131,251,359",0.001,,Balboa Office Center Avenida Balboa y Calle 27 Panama City 07096 Panama,www.autrisgroup.com,+1 7866860105,info@autrisgroup.com,Unaudited,03/31/2024 Quarterly Report,Jun-30,Arnold Patrick Hiebert (CEO),Arnold Patrick Hiebert,10 as of 01/10/2024
AUTYF,NaN,NaN,"162,831,952",NaN,NaN,"114 Albert Road South Melbourne, VA 3205 Australia",www.australianunityofficefund.com.au,,investments@australianunity.com.au,Audited,NaN,Jun-30,NaN,NaN,NaN
AUUAF,"26,565,256",NaN,"250,615,623",NaN,NaN,"#300 - 4240 Glanford Ave Victoria, BC V8Z 4B8 Canada",aluula.com,+1 888-724-2470,info@aluula.com,Audited,NaN,Oct-31,NaN,NaN,NaN
AUUMF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Dec-31,NaN,NaN,NaN
AUVGF,"35,123,524",NaN,"131,993,700",NaN,NaN,"275 Sir Donald Bradman Drive Cowandilla, SA 5033 Australia",www.australianvintage.com.au,+61 (0)8-8172-8333,CRelations@australianvintage.com.au,NaN,NaN,NaN,NaN,Ian D. Ferrier,NaN
AUVIQ,"138,009",NaN,"4,285,995",NaN,05/24/2024,"150 N. Macquesten Parkway Mount Vernon, NY 10550",applieduvinc.com,+1 (914) 665-6100,hello@applieduvinc.com,Audited,05/24/2024 8K Report,Dec-31,NaN,NaN,NaN
AUVPQ,NaN,NaN,NaN,NaN,05/24/2024,"150 N. Macquesten Parkway Mount Vernon, NY 10550",applieduvinc.com,+1 (914) 665-6100,hello@applieduvinc.com,Audited,05/24/2024 8K Report,Dec-31,NaN,NaN,NaN
AUXIF,"5,108,260",Unlimited,"102,165,191",NaN,NaN,"201 Rue Notre-Dame West Suite 500 Montreal, QC H2Y 1T4 Canada",www.auxicoresources.com,+1 514-296-1641,mb@auxicoresources.com,Audited,06/30/2023 Quarterly Report,Sep-30,"Pierre Rene Gauthier (CEO), Jacques Arsenault (CFO), Sonia Carrasco (Executive Assistant), Tara Asfour (IR), Rachel Jones (Legal Asst.)","Mark Billings, Richard Boudreault, Byron King, Joseph Wan Pui Lau, Melissa Sanderson, Kenneth Reginald Dawson West",0 as of 11/30/2022
AUXXF,"11,707,761",Unlimited,"104,720,580",NaN,,"1681 Chestnut Street Suite 400 Vancouver, BC V6J 2M6 Canada",www.allegiantgold.com,+1 604-787-3671,sean@allegiantgold.com,Audited,03/31/2024 Interim Financial Report,Sep-30,"Peter Lawrence Gianulis (CEO), Sean Christopher McGrath (CFO), Alan Roberts (VP Expl.)","Gordon Bogden, Peter Lawrence Gianulis, Shawn Nichols",3 as of 08/31/2021
AVACF,NaN,NaN,NaN,NaN,NaN,Par-la-Ville Place 4th Floor 14 Par-la-Ville Road Hamilton HM 08 Bermuda,www.avancegas.com,+47 92 02 91 64,IR@avancegas.com,Audited,NaN,May-31,Peder Carl Gram Simonsen (CFO),NaN,NaN
AVAI,"112,337,190","500,000,000","117,017,906",0.025,06/03/2024,"c/o Eastbiz.com Inc 5348 Vegas Drive Las Vegas, NV 89108",avanttechnologies.com,(866) 533-0065,info@avanttechnologies.com,Audited,05/03/2024 8K Report,Mar-31,"William S Hisey (Interim CEO), Ivan Lunegov (President, Managing Director), Vitalis Racius (CFO, Treasurer), Natalija Tunevic (Secretary), Danny M Rittman (Other)",Vitalis Racius,5 as of 04/25/2024
